,POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,year
0,1,          Virat Kohli RCB    ,973,16,16,4,113,81.08,640,152.03,4,7,83,38,2016
1,2,           David Warner SRH   ,848,17,17,3,93*,60.57,560,151.42,0,9,88,31,2016
2,3,           AB de Villiers RCB   ,687,16,16,3,129*,52.84,407,168.79,1,6,57,37,2016
3,4,           Gautam Gambhir KKR   ,501,15,15,2,90*,38.53,411,121.89,0,5,54,6,2016
4,5,           Shikhar Dhawan SRH   ,501,17,17,4,82*,38.53,429,116.78,0,4,51,8,2016
5,6,           Rohit Sharma MI   ,489,14,14,3,85*,44.45,368,132.88,0,5,49,16,2016
6,7,           Ajinkya Rahane RPS   ,480,14,14,3,74,43.63,379,126.64,0,6,54,9,2016
7,8,           Murali Vijay PBKS   ,453,14,14,1,89,34.84,364,124.45,0,5,50,10,2016
8,9,           Quinton de Kock DC   ,445,13,13,1,108,37.08,327,136.08,1,3,52,13,2016
9,10,           Suresh Raina GL   ,399,15,15,1,75,28.5,312,127.88,0,3,39,10,2016
10,11,           KL Rahul RCB   ,397,14,12,3,68*,44.11,271,146.49,0,4,37,16,2016
11,12,           Robin Uthappa KKR   ,394,15,15,0,72,26.26,289,136.33,0,3,45,8,2016
12,13,           Aaron Finch GL   ,393,13,12,2,74,39.3,299,131.43,0,5,45,11,2016
13,14,           Yusuf Pathan KKR   ,361,15,13,8,63*,72.2,248,145.56,0,3,33,13,2016
14,15,           Karun Nair DC   ,357,14,12,2,83*,35.7,297,120.2,0,3,40,6,2016
15,16,           Brendon McCullum GL   ,354,16,16,0,60,22.12,262,135.11,0,1,38,16,2016
16,17,           Dinesh Karthik GL   ,335,16,15,2,53,25.76,266,125.93,0,3,38,3,2016
17,18,           Ambati Rayudu MI   ,334,13,12,1,65,30.36,278,120.14,0,2,28,12,2016
18,19,           Dwayne Smith GL   ,324,12,12,1,73,29.45,221,146.6,0,3,35,16,2016
19,20,           Sanju Samson DC   ,291,14,14,3,60,26.45,259,112.35,0,1,20,8,2016
20,21,           MS Dhoni RPS   ,284,14,12,5,64*,40.57,210,135.23,0,1,18,14,2016
21,22,           Steve Smith RPS   ,270,8,7,1,101,45,176,153.4,1,0,27,8,2016
22,23,           Wriddhiman Saha PBKS   ,270,12,12,1,56,24.54,212,127.35,0,2,29,1,2016
23,24,           Jos Buttler MI   ,255,14,14,3,41,23.18,184,138.58,0,0,23,11,2016
24,25,           Manish Pandey KKR   ,248,12,11,3,52,31,183,135.51,0,2,17,9,2016
25,26,           Krunal Pandya MI   ,237,12,9,3,86,39.5,124,191.12,0,1,22,13,2016
26,27,           Yuvraj Singh SRH   ,236,10,10,1,44,26.22,179,131.84,0,0,22,13,2016
27,28,           Chris Gayle RCB   ,227,10,10,0,76,22.7,150,151.33,0,2,17,21,2016
28,29,           Kieron Pollard MI   ,207,13,12,4,51*,25.87,144,143.75,0,1,11,16,2016
29,30,           Faf du Plessis RPS   ,206,6,6,0,69,34.33,162,127.16,0,2,17,9,2016
30,31,           Rishabh Pant DC   ,198,10,10,2,69,24.75,152,130.26,0,1,19,6,2016
31,32,           Chris Morris DC   ,195,12,7,4,82*,65,109,178.89,0,1,15,12,2016
32,33,           JP Duminy DC   ,191,10,8,3,49*,38.2,156,122.43,0,0,13,3,2016
33,34,           Ravindra Jadeja GL   ,191,15,15,6,36*,21.22,178,107.3,0,0,14,4,2016
